"part_id","age","ageRound","cueDum","cueContrast","blockNum","trialNum","tType","acc","reachRT","minDist","minPDist","szDummyAgg","Reach Type","Age","Condition","Trial Type"
1002,6.44,6,1,0.5,5,19,0.5,1,751.603126,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,5,20,0.5,1,752.524155,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,6,21,0.5,1,751.427339,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,6,22,0.5,1,965.098167,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,6,23,0.5,1,754.188152,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,6,24,0.5,1,750.765154,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,7,25,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,7,26,0.5,1,971.130653,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,7,27,0.5,1,751.142896,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,7,28,0.5,1,551.459311,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,8,29,0.5,1,2244.638802,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,8,30,0.5,1,966.405471,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,8,31,0.5,1,750.075093,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,8,32,0.5,1,750.839678,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,9,33,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,9,34,-0.5,1,0,1.388758,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,9,35,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,9,36,0.5,1,752.077578,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,1,1,0.5,1,1411.48675402,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,1,2,0.5,1,1185.15703578,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,1,3,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,1,4,0.5,1,971.110741966,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,2,5,0.5,1,1184.57563249,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,2,6,0.5,1,1188.23983853,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,2,7,0.5,1,1182.47188557,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,2,8,0.5,1,968.402267359,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
